,Date,Price,Open,High,Low,Change %,Variation,OpenPrice
118,06/01/2013,24.78,21.68,26.57,19.99,0.1451,14.51%,1.142988929889299
119,05/01/2013,21.64,16.58,22.11,16.14,0.2919,29.19%,1.3051869722557299
120,04/01/2013,16.75,18.85,18.88,16.38,-0.0956,-9.56%,0.8885941644562334
121,03/01/2013,18.52,18.5,20.86,18.33,-0.0191,-1.91%,1.001081081081081
122,02/01/2013,18.88,20.1,20.54,18.43,-0.0489,-4.89%,0.9393034825870645
123,01/01/2013,19.85,18.42,20.37,18.03,0.1304,13.04%,1.0776330076004343
124,12/01/2012,17.56,16.44,18.47,15.64,0.0934,9.34%,1.0681265206812651
125,11/01/2012,16.06,17.15,17.79,15.56,-0.047400000000000005,-4.74%,0.9364431486880467
126,10/01/2012,16.86,16.2,18.52,16.11,0.029900000000000003,2.99%,1.0407407407407407
127,09/01/2012,16.37,15.65,18.92,15.48,0.048,4.80%,1.0460063897763578
128,08/01/2012,15.62,14.92,18.63,14.49,0.046900000000000004,4.69%,1.0469168900804289
129,07/01/2012,14.92,16.43,16.43,13.94,-0.1007,-10.07%,0.9080949482653682
130,06/01/2012,16.59,15.21,16.86,14.4,0.0493,4.93%,1.0907297830374754
131,05/01/2012,15.81,19.19,19.61,15.33,-0.1744,-17.44%,0.8238665971860344
132,04/01/2012,19.15,22.0,22.84,19.07,-0.1358,-13.58%,0.8704545454545454
133,03/01/2012,22.16,20.33,23.97,19.31,0.1209,12.09%,1.090014756517462
134,02/01/2012,19.77,18.07,20.8,18.0,0.0989,9.89%,1.0940785832872164
135,01/01/2012,17.99,19.51,20.94,17.97,-0.0385,-3.85%,0.9220912352639671
136,12/01/2011,18.71,21.28,21.56,18.01,-0.0953,-9.53%,0.8792293233082706
137,11/01/2011,20.68,20.29,21.37,18.79,-0.0492,-4.92%,1.0192212912764909
138,10/01/2011,21.75,18.83,24.07,17.17,0.1305,13.05%,1.1550716941051515
139,09/01/2011,19.24,22.02,22.78,16.96,-0.1326,-13.26%,0.8737511353315167
140,08/01/2011,22.18,27.92,28.21,19.78,-0.20929999999999999,-20.93%,0.7944126074498566
141,07/01/2011,28.05,31.47,32.23,28.05,-0.1118,-11.18%,0.8913250714966635
142,06/01/2011,31.58,30.15,32.16,28.47,0.0354,3.54%,1.04742951907131
143,05/01/2011,30.5,33.12,33.12,30.41,-0.0746,-7.46%,0.9208937198067634
144,04/01/2011,32.96,34.98,36.19,32.86,-0.045700000000000005,-4.57%,0.9422527158376216
145,03/01/2011,34.54,34.64,35.95,31.41,0.011699999999999999,1.17%,0.9971131639722863
146,02/01/2011,34.14,34.28,37.44,33.98,0.010700000000000001,1.07%,0.9959159859976663
147,01/01/2011,33.78,33.77,34.97,32.55,0.022099999999999998,2.21%,1.0002961208172934
148,12/01/2010,33.05,29.03,35.66,28.9,0.1816,18.16%,1.1384774371339992
149,11/01/2010,27.97,25.88,29.63,24.6,0.0708,7.08%,1.080757341576507
150,10/01/2010,26.12,25.46,27.2,23.34,0.0377,3.77%,1.025923016496465
151,09/01/2010,25.17,24.91,28.27,24.49,0.0161,1.61%,1.0104375752709756
152,08/01/2010,24.77,29.34,29.64,24.19,-0.1479,-14.79%,0.8442399454669394
153,07/01/2010,29.07,29.29,31.24,28.83,-0.0149,-1.49%,0.9924889040628201
154,06/01/2010,29.51,32.59,34.25,29.47,-0.106,-10.60%,0.905492482356551
155,05/01/2010,33.01,36.95,37.13,30.98,-0.09880000000000001,-9.88%,0.8933694181326115
156,04/01/2010,36.63,38.59,40.13,36.55,-0.0444,-4.44%,0.9492096398030577
157,03/01/2010,38.33,36.17,39.3,35.93,0.0662,6.62%,1.0597179983411666
158,02/01/2010,35.95,36.33,38.28,35.37,-0.0039000000000000003,-0.39%,0.9895403248004405
159,01/01/2010,36.09,38.59,38.59,35.76,-0.060899999999999996,-6.09%,0.9352163772998187
160,12/01/2009,38.43,32.31,39.18,32.23,0.2006,20.06%,1.1894150417827296
161,11/01/2009,32.01,34.03,35.64,32.0,-0.056299999999999996,-5.63%,0.9406406112253892
162,10/01/2009,33.92,32.9,35.79,31.06,0.025699999999999997,2.57%,1.031003039513678
163,09/01/2009,33.07,33.99,35.35,32.72,-0.0276,-2.76%,0.9729332156516622
